Code,Depth,O2,d18O,material
1yss,2,41.4,18.81,S.capillifolium
2yss,4,42,18.32,S.capillifolium
3r,6,37.3,19.14,Rhizome
4yss,8,43.3,20.22,S.capillifolium
5yss,10,43.4,20.64,S.capillifolium
6yss,12,42.7,18.88,S.capillifolium
7yss,14,42.4,19.28,S.capillifolium
8yss,16,43.4,20.05,S.capillifolium
9yss,18,41.7,16.91,S.capillifolium
10yss,20,41.7,17.13,S.capillifolium
10bss,20,42.9,18.58,S.fuscum
11yss,22,41.9,18.48,S.capillifolium
12yss,24,42.8,18.64,S.capillifolium
13yss,26,43.2,19.34,S.capillifolium
14yss,28,36.8,17.17,S.capillifolium
15yss,30,43.8,19.36,S.capillifolium
16yss,32,43.7,18.95,S.capillifolium
17yss,34,45.1,19.08,S.capillifolium
Sb1yss,35,43.6,18.99,S.capillifolium
18yss,36,43.4,20.43,S.capillifolium
Sb2yss,37,44,17.82,S.capillifolium
Sb2bss,37,41.9,18.94,S.fuscum
19yss,38,44.5,19.32,S.capillifolium
Sb3bss,39,42.3,19.49,S.fuscum
20bss,40,42.6,17.88,S.fuscum
Sb4yss,41,43.1,21.32,S.capillifolium
21yss,42,40.8,18.13,S.capillifolium
Sb5yss,43,43.6,18.15,S.capillifolium
22yss,44,46,17.41,S.capillifolium
Sb6yss,45,45.4,16.89,S.capillifolium
23yss,46,46.6,18.13,S.capillifolium
Sb7yss,47,43,20.28,S.capillifolium
24yss,48,46.2,18.36,S.capillifolium
25yss,50,45.1,19.18,S.capillifolium
26yss,52,44,18.92,S.capillifolium
27yss,54,45.4,19.97,S.capillifolium
27.5yss,55,44.9,19.4,S.capillifolium
28yss,56,43.6,19.15,S.capillifolium
28.5yss,57,46.6,17.21,S.capillifolium
29yssRE,58,46.2,17.71,S.capillifolium
29yss,58,44.7,17.09,S.capillifolium
29.5yss,59,46.3,18.68,S.capillifolium
30yss,60,38.3,19.47,S.capillifolium
30.5yss,61,47.3,19.43,S.capillifolium
31yss,62,42.8,20.15,S.capillifolium
31.5yss,63,45.4,19.06,S.capillifolium
32bss,64,44.1,19.23,S.fuscum
32.5yss,65,44.8,17.17,S.capillifolium
33bss,66,44.5,18.57,S.fuscum
33.5yss,67,45.9,20.75,S.capillifolium
34bss,68,44.3,18.78,S.fuscum
34ayss,69,45.5,18.24,S.capillifolium
35bss,70,42,18.34,S.fuscum
35ayss,71,45,20.17,S.capillifolium
36bss,72,45.3,18.74,S.fuscum
36dbss,72,44.3,18.86,S.magellanicum
36ayss,73,45.9,19.52,S.capillifolium
37dbss,74,44.7,18.61,S.magellanicum
37bss,74,34,17.11,S.fuscum
38dbss,76,42.7,19.57,S.magellanicum
38bss,76,43.5,18.16,S.fuscum
39bss,78,43.1,19.36,S.fuscum
40bss,80,42.5,18.97,S.fuscum
41bss,82,43.8,18.21,S.fuscum
42bss,84,43.7,19.68,S.fuscum
43bss,86,43.3,18.09,S.fuscum
44bss,88,40.4,18.45,S.fuscum
44.5yss,89,45.9,19.31,S.capillifolium
45r,90,37.7,17.6,Rhizome
45Lbss,90,42.7,19.43,S.angustifolium
45.5yss,91,43.1,20.27,S.capillifolium
46bss,92,40.1,18.49,S.fuscum
46r,92,34.3,15.65,Rhizome
46.5yss,93,45.2,20.56,S.capillifolium
47bss,94,39.9,23.21,S.fuscum
47yss,94,43.3,22.25,S.capillifolium
47.5yss,95,39,17.14,S.capillifolium
48yss,96,43.1,19.56,S.capillifolium
48.5yss,97,40.1,18.61,S.capillifolium
49bss,98,34.8,19.18,S.fuscum
49yss,98,41,19.23,S.capillifolium
49.5yss,99,35.4,16.54,S.capillifolium
50r,100,33.3,15.22,Rhizome
50yss,100,39.3,19.73,S.capillifolium
50.5yss,101,35.7,16.58,S.capillifolium
51bss,102,40.5,19.8,S.fuscum
51.5yss,103,44.8,20.16,S.capillifolium
52bss,104,41.4,20.27,S.fuscum
52.5yss,105,42.4,20.42,S.capillifolium
53dbss,106,33,19.21,S.magellanicum
54dbss,108,39.5,19.22,S.magellanicum
55Lbss,110,40.5,17.76,S.angustifolium
56yss,112,42.1,19.65,S.capillifolium
57bss,114,42.3,19.12,S.fuscum
58yss,116,42.2,19.68,S.capillifolium
59bss,118,37.8,19.7,S.fuscum
59.5yss,119,37.4,17.66,S.capillifolium
60bss,120,35.9,16.2,S.fuscum
60yss,120,40,20.62,S.capillifolium
60.5yss,121,38.4,17.15,S.capillifolium
61bss,122,39.8,18.44,S.fuscum
62bss,124,41.2,19.32,S.fuscum
63bss,126,49.3,19.06,S.fuscum
64yss,128,37.2,19.23,S.capillifolium
65Lbss,130,40.9,19.31,S.angustifolium
66yss,132,41.7,20.29,S.capillifolium
67yss,134,41.1,21.42,S.capillifolium
67.2yss,134.4,46.4,20.83,S.capillifolium
67.8yss,135.6,45.1,20.08,S.capillifolium
68yss,136,45.9,17.47,S.capillifolium
69yss,138,39.8,18.37,S.capillifolium
70yss,140,42.3,19.49,S.capillifolium
71bss,142,43.7,19.5,S.fuscum
72yss,144,41.5,19.5,S.capillifolium
73bss,146,40.7,17.95,S.fuscum
74bss,148,41.4,19.42,S.fuscum
75bss,150,42.6,18.5,S.fuscum
76bss,152,39.5,18.16,S.fuscum
77bss,154,40.5,20.52,S.fuscum
78bss,156,40.6,17.8,S.fuscum
79bss,158,43.1,19.02,S.fuscum
80bss,160,39.4,19.69,S.fuscum
81yss,162,42.1,19.5,S.capillifolium
82bss,164,42.2,19.15,S.fuscum
83bss,166,42.5,19.56,S.fuscum
84bss,168,43,18.3,S.fuscum
85yss,170,41.5,19.28,S.capillifolium
85r,170,38.4,19.61,Rhizome
86r,172,35.3,15.93,Rhizome
86yss,172,41.6,17.34,S.capillifolium
87yss,174,42.3,17.78,S.capillifolium
88yss,176,42,17.37,S.capillifolium
89bss,178,35.3,17.94,S.fuscum
90bss,180,41.9,17.61,S.fuscum
91bss,182,41.4,17.36,S.fuscum
92bss,184,41.4,16.9,S.fuscum
92r,184,36.4,13.47,Rhizome
93bss,186,42,15.86,S.fuscum
94bss,188,41.9,17.18,S.fuscum
95yss,190,41.3,18.09,S.capillifolium
95bss,190,35.8,16.74,S.fuscum
95r,190,40.2,18.66,Rhizome
96bss,192,40.6,17.82,S.fuscum
97bss,194,41,18.29,S.fuscum
98bss,196,42.2,18.06,S.fuscum
98yss,196,41,17.74,S.capillifolium
99bss,198,41.2,17.8,S.fuscum
99yss,198,39.7,16.94,S.capillifolium
100,200,40,19.11,S.fuscum
101dbss,202,41.8,19.36,S.magellanicum
101dbss,202,40.5,19.72,S.magellanicum
102bss,204,42.1,19.18,S.fuscum
103dbss,206,40.9,19.68,S.magellanicum
104bss,208,40.6,19.26,S.fuscum
105bss,210,40.1,18.79,S.fuscum
105r,210,32.7,14.05,Rhizome
106bss,212,41.9,17.72,S.fuscum
107dbss,214,41.1,19.81,S.magellanicum
109bss,218,40.7,19.53,S.angustifolium
110bss,220,41.4,19.11,S.fuscum
111bss,222,35,17.49,S.fuscum
112bss,224,36.4,18.56,S.fuscum
113Lbss,226,39.1,20,S.angustifolium
114bss,228,40.3,19.74,S.fuscum
115bss,230,23.7,17.55,S.fuscum
115r,230,35.4,16.95,Rhizome
116bss,232,37.9,16.43,S.fuscum
117bss,234,39.6,18.16,S.fuscum
118r,236,38.7,19.14,Rhizome
119r,238,32,15.86,Rhizome
119bss,238,37.3,18.7,S.fuscum
120r,240,34.7,16.88,Rhizome
121r,242,35.3,16.77,Rhizome
121r,242,39.1,18.18,Rhizome
121dbss,242,32.5,13.89,S.magellanicum
122DS,244,27.5,12.92,Root.networks.of.Pteridophytae
122dbss,244,37.3,14.92,S.magellanicum
123dbss,246,39,19.54,S.magellanicum
124dbss,248,37.9,16.46,S.magellanicum
125r,250,34.9,15.19,Rhizome
125DS,250,26.3,12.11,Root.networks.of.Pteridophytae
125bss,250,42.5,16.56,S.fuscum
126dbss,252,40,17.58,S.magellanicum
127dbss,254,41.3,18.67,S.magellanicum
129dbss,258,39,20.83,S.magellanicum
130dbss,260,41.6,16.47,S.magellanicum
131dbss,262,42.9,18.82,S.magellanicum
132dbss,264,40.2,17.98,S.magellanicum
133dbss,266,40.5,19.78,S.magellanicum
134DS,268,34.5,13.33,Root.networks.ofPteridophytae
135DS,270,35.6,14.95,Root.networks.of.Pteridophytae
135r,270,37.4,17.63,Rhizome
136DS,272,33.9,13.11,Root.networks.of.Pteridophytae
137dbss,274,42.5,21.92,S.magellanicum
139dbss,278,39.6,18.46,S.magellanicum
140r,280,33.3,14.8,Rhizome
141r,282,30.5,15.08,Rhizome
142r,284,34.1,15.54,Rhizome
143r,286,33,14.26,Rhizome
145r,290,34.2,14.06,Rhizome
145bss,290,43.7,17.82,S.fuscum
146dbss,292,38.6,15.11,S.magellanicum
147r,294,30.9,17.71,Rhizome
148dbss,296,40.8,17.03,S.magellanicum
149r,298,28.9,15.67,Rhizome
150r,300,35.6,16.2,Rhizome
151r,302,32.3,16.56,Rhizome
151dbss,302,35.3,16.34,S.magellanicum
152dbss,304,39.5,17.63,S.magellanicum
153dbss,306,38.3,19.71,S.magellanicum
154dbss,308,40.5,18.16,S.magellanicum
155dbss,310,36.6,15.27,S.magellanicum
157dbss,314,39.2,19.54,S.magellanicum
158r,316,36.2,16.4,Rhizome
159dbss,318,37.4,18.25,S.magellanicum
160bss,320,40.2,17.75,S.fuscum
160dbss,320,41.3,17.21,S.magellanicum
161dbss,322,38.1,17.34,S.magellanicum
162dbss,324,40.9,15.97,S.magellanicum
162bss,324,39.6,17.38,S.fuscum
163dbss,326,39.4,17.76,S.magellanicum
164bss,328,39,16.89,S.fuscum
165r,330,35,14.89,Rhizome
165bss,330,40.8,19.89,S.fuscum
166bss,332,40.6,15.26,S.fuscum
167r,334,42.6,24.96,Rhizome
167r,334,39.8,25.18,Rhizome
167bss,334,40.4,19.51,S.fuscum
168bss,336,38.9,16.79,S.fuscum
169r,338,37.4,19.06,Rhizome
169bss,338,37.7,24.82,S.fuscum
170syss,340,36.3,15.13,S.papillosum
171r,342,30.6,13.53,Rhizome
171syss,342,39.3,15.17,S.papillosum
172syss,344,37.7,16.08,S.papillosum
173DS,346,37.5,17.88,Root.networks.of.Pteridophytae
174dbss,348,39.9,17.23,S.magellanicum
175bss,350,39.8,17.51,S.fuscum
176dbss,352,40.3,18.71,S.magellanicum
177dbss,354,39.7,18.99,S.magellanicum
178dbss,356,39.8,18.14,S.magellanicum
179dbss,358,37,16.21,S.magellanicum
180dbss,360,40,17.69,S.magellanicum
181DS,362,22.1,14.24,Root.networks.of.Pteridophytae
181dbss,362,29.3,18.18,S.magellanicum
185bss,370,39.5,17.08,S.fuscum
190DS,380,36.1,14.59,Root.networks.of.Pteridophytae
195bss,390,39.9,16.33,S.fuscum
195dbss,390,37,15.63,S.magellanicum
200r,400,33.3,16.97,Rhizome
205dbss,410,40.5,16.39,S.magellanicum
210bss,420,37.4,15.88,S.fuscum
215bss,430,37.8,15.91,S.fuscum
220r,440,36.9,22.08,Rhizome
220rbl,440,34.8,13.38,Unknown.Reddishbrown.leaves
220dbss,440,39.7,16.65,S.magellanicum
225bss,450,40.6,16.85,S.fuscum
230bss,460,39.2,17.85,S.fuscum
230rbl,460,27.4,14.77,Unknown.Reddishbrown.leaves
235dbss,470,42.3,16.49,S.magellanicum
235r,470,36.3,16.83,Rhizome
240bss,480,40.2,16.99,S.fuscum
245bss,490,42.5,15.17,S.fuscum
250rbl,500,28.4,17.88,Unknown.Reddishbrown.leaves
250dbss,500,39,15.08,S.magellanicum
255trh,510,35.5,13.19,Tissue.remains.of.Herbacea
260bss,520,38.6,16.56,S.fuscum
265trh,530,32.2,13.37,Tissue.remains.of.Herbacea
270trh,540,33,12.15,Tissue.remains.of.Herbacea
275trh,550,34.7,12.1,Tissue.remains.of.Herbacea
280trh,560,29.8,11.94,Tissue.remains.of.Herbacea
290trh,580,34,13.55,Tissue.remains.of.Herbacea
295trh,590,33.5,7.99,Tissue.remains.of.Herbacea
